Periodo,Poblacion
2002,1058029
2003,1062402
2004,1066234
2005,1071980
2006,1077921
2007,1085763
2008,1091508
2009,1097126
2010,1100441
2011,1103514
2012,1102017
2013,1098248
2014,1093807
2015,1087625
2016,1081074
2017,1073146
2018,1067018
2019,1062845
2020,1059262
2021,1054785
2022,1051738
